omega,integrand
1.589590e+01,-4.234943e-02
1.597598e+01,-5.511197e-02
1.605606e+01,-6.739944e-02
1.613614e+01,-7.913934e-02
1.621622e+01,-9.026329e-02
1.629630e+01,-1.007074e-01
1.637638e+01,-1.104126e-01
1.645646e+01,-1.193250e-01
1.653654e+01,-1.273962e-01
1.661662e+01,-1.345834e-01
1.669670e+01,-1.408499e-01
1.677678e+01,-1.461650e-01
1.685686e+01,-1.505041e-01
1.693694e+01,-1.538490e-01
1.701702e+01,-1.561881e-01
1.709710e+01,-1.575158e-01
1.717718e+01,-1.578332e-01
1.725726e+01,-1.571475e-01
1.733734e+01,-1.554721e-01
1.741742e+01,-1.528268e-01
1.749750e+01,-1.492368e-01
1.757758e+01,-1.447333e-01
1.765766e+01,-1.393529e-01
1.773774e+01,-1.331373e-01
1.781782e+01,-1.261331e-01
1.789790e+01,-1.183914e-01
1.797798e+01,-1.099674e-01
1.805806e+01,-1.009204e-01
1.813814e+01,-9.131261e-02
1.821822e+01,-8.120965e-02
1.829830e+01,-7.067946e-02
1.837838e+01,-5.979213e-02
1.845846e+01,-4.861938e-02
1.853854e+01,-3.723413e-02
1.861862e+01,-2.571000e-02
1.869870e+01,-1.412087e-02
1.877878e+01,-2.540416e-03
1.885886e+01,8.958367e-03
1.893894e+01,2.030359e-02
1.901902e+01,3.142494e-02
1.909910e+01,4.225407e-02
1.917918e+01,5.272504e-02
1.925926e+01,6.277469e-02
1.933934e+01,7.234301e-02
1.941942e+01,8.137353e-02
1.949950e+01,8.981359e-02
1.957958e+01,9.761467e-02
1.965966e+01,1.047327e-01
1.973974e+01,1.111281e-01
1.981982e+01,1.167663e-01
1.989990e+01,1.216177e-01
1.997998e+01,1.256580e-01
2.006006e+01,1.288680e-01
2.014014e+01,1.312340e-01
2.022022e+01,1.327476e-01
2.030030e+01,1.334060e-01
2.038038e+01,1.332117e-01
2.046046e+01,1.321724e-01
2.054054e+01,1.303014e-01
2.062062e+01,1.276169e-01
2.070070e+01,1.241420e-01
2.078078e+01,1.199049e-01
2.086086e+01,1.149382e-01
2.094094e+01,1.092787e-01
2.102102e+01,1.029675e-01
2.110110e+01,9.604959e-02
2.118118e+01,8.857316e-02
2.126126e+01,8.058975e-02
2.134134e+01,7.215365e-02
2.142142e+01,6.332163e-02
2.150150e+01,5.415253e-02
2.158158e+01,4.470686e-02
2.166166e+01,3.504647e-02
