theta,integrand
4.811433e-01,7.091018e-01
4.874327e-01,6.987410e-01
4.937222e-01,6.883376e-01
5.000117e-01,6.778947e-01
5.063011e-01,6.674151e-01
5.125906e-01,6.569018e-01
5.188800e-01,6.463576e-01
5.251695e-01,6.357856e-01
5.314589e-01,6.251886e-01
5.377484e-01,6.145695e-01
5.440378e-01,6.039313e-01
5.503273e-01,5.932769e-01
5.566167e-01,5.826091e-01
5.629062e-01,5.719308e-01
5.691957e-01,5.612449e-01
5.754851e-01,5.505542e-01
5.817746e-01,5.398616e-01
5.880640e-01,5.291700e-01
5.943535e-01,5.184821e-01
6.006429e-01,5.078008e-01
6.069324e-01,4.971288e-01
6.132218e-01,4.864689e-01
6.195113e-01,4.758239e-01
6.258007e-01,4.651964e-01
6.320902e-01,4.545892e-01
6.383797e-01,4.440050e-01
6.446691e-01,4.334465e-01
6.509586e-01,4.229162e-01
6.572480e-01,4.124168e-01
6.635375e-01,4.019510e-01
6.698269e-01,3.915211e-01
6.761164e-01,3.811299e-01
6.824058e-01,3.707798e-01
6.886953e-01,3.604732e-01
6.949848e-01,3.502127e-01
7.012742e-01,3.400007e-01
7.075637e-01,3.298395e-01
7.138531e-01,3.197315e-01
7.201426e-01,3.096790e-01
7.264320e-01,2.996844e-01
7.327215e-01,2.897498e-01
7.390109e-01,2.798775e-01
7.453004e-01,2.700698e-01
7.515898e-01,2.603286e-01
7.578793e-01,2.506562e-01
7.641688e-01,2.410547e-01
7.704582e-01,2.315260e-01
7.767477e-01,2.220722e-01
7.830371e-01,2.126951e-01
7.893266e-01,2.033969e-01
7.956160e-01,1.941792e-01
8.019055e-01,1.850441e-01
8.081949e-01,1.759931e-01
8.144844e-01,1.670282e-01
8.207738e-01,1.581510e-01
8.270633e-01,1.493632e-01
8.333528e-01,1.406665e-01
8.396422e-01,1.320623e-01
8.459317e-01,1.235522e-01
8.522211e-01,1.151378e-01
8.585106e-01,1.068205e-01
8.648000e-01,9.860165e-02
8.710895e-01,9.048264e-02
8.773789e-01,8.246478e-02
8.836684e-01,7.454935e-02
8.899578e-01,6.673756e-02
8.962473e-01,5.903058e-02
9.025368e-01,5.142955e-02
9.088262e-01,4.393554e-02
9.151157e-01,3.654959e-02
9.214051e-01,2.927269e-02
9.276946e-01,2.210577e-02
9.339840e-01,1.504974e-02
9.402735e-01,8.105433e-03
9.465629e-01,1.273652e-03
9.528524e-01,-5.444851e-03
9.591419e-01,-1.204937e-02
9.654313e-01,-1.853925e-02
9.717208e-01,-2.491388e-02
9.780102e-01,-3.117269e-02
9.842997e-01,-3.731517e-02
9.905891e-01,-4.334085e-02
9.968786e-01,-4.924930e-02
1.003168e+00,-5.504016e-02
1.009457e+00,-6.071307e-02
1.015747e+00,-6.626778e-02
1.022036e+00,-7.170402e-02
1.028326e+00,-7.702162e-02
1.034615e+00,-8.222042e-02
1.040905e+00,-8.730032e-02
1.047194e+00,-9.226127e-02
1.053484e+00,-9.710324e-02
1.059773e+00,-1.018263e-01
1.066063e+00,-1.064305e-01
1.072352e+00,-1.109159e-01
1.078641e+00,-1.152827e-01
1.084931e+00,-1.195312e-01
1.091220e+00,-1.236615e-01
1.097510e+00,-1.276740e-01
1.103799e+00,-1.315690e-01
1.110089e+00,-1.353468e-01
1.116378e+00,-1.390079e-01
1.122668e+00,-1.425527e-01
1.128957e+00,-1.459817e-01
1.135247e+00,-1.492954e-01
1.141536e+00,-1.524945e-01
1.147825e+00,-1.555794e-01
1.154115e+00,-1.585509e-01
1.160404e+00,-1.614096e-01
1.166694e+00,-1.641563e-01
1.172983e+00,-1.667916e-01
1.179273e+00,-1.693164e-01
1.185562e+00,-1.717315e-01
1.191852e+00,-1.740378e-01
1.198141e+00,-1.762361e-01
1.204431e+00,-1.783273e-01
1.210720e+00,-1.803124e-01
1.217009e+00,-1.821923e-01
1.223299e+00,-1.839682e-01
1.229588e+00,-1.856410e-01
1.235878e+00,-1.872117e-01
1.242167e+00,-1.886815e-01
1.248457e+00,-1.900515e-01
1.254746e+00,-1.913229e-01
1.261036e+00,-1.924968e-01
1.267325e+00,-1.935743e-01
1.273615e+00,-1.945568e-01
1.279904e+00,-1.954455e-01
1.286193e+00,-1.962416e-01
1.292483e+00,-1.969465e-01
1.298772e+00,-1.975614e-01
1.305062e+00,-1.980877e-01
1.311351e+00,-1.985266e-01
1.317641e+00,-1.988797e-01
1.323930e+00,-1.991482e-01
1.330220e+00,-1.993336e-01
1.336509e+00,-1.994373e-01
1.342799e+00,-1.994607e-01
1.349088e+00,-1.994052e-01
1.355378e+00,-1.992724e-01
1.361667e+00,-1.990637e-01
1.367956e+00,-1.987805e-01
1.374246e+00,-1.984244e-01
1.380535e+00,-1.979969e-01
1.386825e+00,-1.974995e-01
1.393114e+00,-1.969337e-01
1.399404e+00,-1.963011e-01
1.405693e+00,-1.956032e-01
1.411983e+00,-1.948414e-01
1.418272e+00,-1.940175e-01
1.424562e+00,-1.931329e-01
1.430851e+00,-1.921892e-01
1.437140e+00,-1.911879e-01
1.443430e+00,-1.901307e-01
1.449719e+00,-1.890190e-01
1.456009e+00,-1.878545e-01
1.462298e+00,-1.866387e-01
1.468588e+00,-1.853731e-01
1.474877e+00,-1.840594e-01
1.481167e+00,-1.826991e-01
1.487456e+00,-1.812938e-01
1.493746e+00,-1.798450e-01
1.500035e+00,-1.783542e-01
